BatchFile test, number of cities :=14
ACS Algorithm - LSType Exponential Times = 5
Format:
avgGen avgdist DP AP IP NA AF GP Path1D Path1C Path2D Path2C Path3D Path3C ANTMEET
AntType = None
AntDir = Bidirectional
6.398 3348.35 0.1 0.1 2.2E-5 10 0.25 0.9 3323 72 3336 777 3371 82 128.725207962741
6.288 3348.216 0.1 0.1 2.2E-5 10 0.3 0.9 3323 71 3336 767 3371 93 128.382228420316
6.467 3349.544 0.1 0.1 2.2E-5 10 0.35 0.9 3323 69 3336 776 3371 74 128.463165186056
6.533 3349.538 0.1 0.1 2.2E-5 10 0.4 0.9 3323 66 3336 789 3371 70 128.60703233991
6.598 3346.089 0.1 0.1 2.2E-5 10 0.45 0.9 3323 77 3336 794 3371 70 128.452806590366
6.606 3346.356 0.1 0.1 2.2E-5 10 0.5 0.9 3323 91 3336 778 3371 75 129.126082815211
6.432 3345.966 0.1 0.1 2.2E-5 10 0.55 0.9 3323 97 3336 766 3371 84 129.021264485324
6.818 3343.71 0.1 0.1 2.2E-5 10 0.6 0.9 3323 107 3336 769 3371 83 130.148198243736
6.703 3344.249 0.1 0.1 2.2E-5 10 0.65 0.9 3323 98 3336 788 3371 71 130.441219885306
7.179 3345.687 0.1 0.1 2.2E-5 10 0.7 0.9 3323 118 3336 733 3371 96 130.931924572669
7.124 3345.258 0.1 0.1 2.2E-5 10 0.75 0.9 3323 135 3336 733 3371 78 131.156352635501
7.449 3343.757 0.1 0.1 2.2E-5 10 0.8 0.9 3323 145 3336 708 3371 105 131.629092843129
7.654 3340.827 0.1 0.1 2.2E-5 10 0.85 0.9 3323 144 3336 731 3371 101 132.328440325551
8.872 3342.578 0.1 0.1 2.2E-5 10 0.9 0.9 3323 226 3336 625 3371 104 134.758539587891
12.758 3334.735 0.1 0.1 2.2E-5 10 0.95 0.9 3323 435 3336 487 3371 61 139.821960312071


AntType = 1 on Sqrt X
AntDir = Bidirectional
6.284 3345.196 0.1 0.1 2.2E-5 10 0 0.9 3323 67 3336 839 3371 36 128.751929261958
6.186 3348.784 0.1 0.1 2.2E-5 10 0.05 0.9 3323 58 3336 813 3371 55 128.592281696341
6.089 3346.338 0.1 0.1 2.2E-5 10 0.1 0.9 3323 62 3336 823 3371 59 128.48220515452
6.339 3347.551 0.1 0.1 2.2E-5 10 0.15 0.9 3323 62 3336 800 3371 73 128.561749587763
6.136 3347.101 0.1 0.1 2.2E-5 10 0.2 0.9 3323 65 3336 810 3371 61 128.226308818022
6.248 3347.513 0.1 0.1 2.2E-5 10 0.25 0.9 3323 74 3336 795 3371 63 128.485626726685
6.074 3344.157 0.1 0.1 2.2E-5 10 0.3 0.9 3323 67 3336 814 3371 75 128.490707462544
6.122 3346.857 0.1 0.1 2.2E-5 10 0.35 0.9 3323 69 3336 798 3371 70 128.346384483475
6.188 3345.305 0.1 0.1 2.2E-5 10 0.4 0.9 3323 78 3336 810 3371 58 128.43845102843
6.407 3345.891 0.1 0.1 2.2E-5 10 0.45 0.9 3323 64 3336 825 3371 53 128.196847499821
6.29 3347.388 0.1 0.1 2.2E-5 10 0.5 0.9 3323 85 3336 780 3371 68 128.483219393707
6.312 3346.04 0.1 0.1 2.2E-5 10 0.55 0.9 3323 83 3336 795 3371 55 128.426500574198
6.145 3346.322 0.1 0.1 2.2E-5 10 0.6 0.9 3323 82 3336 795 3371 66 128.55751005311
6.073 3345.719 0.1 0.1 2.2E-5 10 0.65 0.9 3323 66 3336 816 3371 66 128.797966045807
6.277 3346.874 0.1 0.1 2.2E-5 10 0.7 0.9 3323 87 3336 808 3371 44 128.945495354399
6.321 3348.076 0.1 0.1 2.2E-5 10 0.75 0.9 3323 74 3336 789 3371 65 128.413021460773
6.518 3344.705 0.1 0.1 2.2E-5 10 0.8 0.9 3323 83 3336 816 3371 55 128.576956233362
6.493 3345.638 0.1 0.1 2.2E-5 10 0.85 0.9 3323 71 3336 806 3371 72 128.545702755264
6.501 3346.97 0.1 0.1 2.2E-5 10 0.9 0.9 3323 77 3336 785 3371 79 128.582774875349
6.402 3346.904 0.1 0.1 2.2E-5 10 0.95 0.9 3323 66 3336 806 3371 65 128.435824004215

AntDir = Unidirectional
6.284 3345.196 0.1 0.1 2.2E-5 10 0 0.9 3323 67 3336 839 3371 36 128.751929261958
6.032 3348.377 0.1 0.1 2.2E-5 10 0.05 0.9 3323 56 3336 818 3371 57 128.53377075032
6.329 3347.785 0.1 0.1 2.2E-5 10 0.1 0.9 3323 68 3336 777 3371 93 128.386163863654
